sample_interval_min,tolerance_km,direct_ctw_predictability,markov_order_1_predictability,markov_order_2_predictability,best_codebook_size,best_vq_predictability
5,2.5,0.863145512119229,0.8158427632791508,0.7712156354440384,1024.0,0.9283450168409113
5,5.0,0.9389050365335398,0.8982492641022616,0.8948663298806341,256.0,1.0
5,7.5,0.9976703472625824,0.9963603511927911,0.9961828289659295,256.0,1.0
5,10.0,0.9399242152096108,0.9015480795543367,0.8983534772555416,256.0,1.0
15,2.5,0.8293307868582267,0.6559123883469886,0.5943403633172191,512.0,0.8566864239939791
15,5.0,0.874506649861277,0.8152803668993094,0.7952740499790012,1024.0,0.9941106118468638
15,7.5,0.9371523059977138,0.9158702305027114,0.9081758964061051,256.0,1.0
15,10.0,0.8673501548999434,0.8339460856990519,0.829147637886928,256.0,1.0
30,2.5,0.8128496502056364,0.5664335067359306,0.5080246513892883,1024.0,0.8323378455557592
30,5.0,0.8414658359483559,0.7466406767065471,0.7196304431523046,256.0,0.9735476691043639
30,7.5,0.9098726255277931,0.874805381012192,0.861904462367233,1024.0,0.9993109755640919
30,10.0,0.8264663549331026,0.7659789643924043,0.7594676425753412,512.0,1.0
