sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
15,linear,256,0,1,taxi,taxi:1,47.42271041870117,11.855677604675293,9.33950138092041
15,linear,256,3,35660,taxi,taxi:35660,9.028063774108887,2.2570159435272217,5.848377940247584
15,linear,256,7,3123,taxi,taxi:3123,5.0447916984558105,1.2611979246139526,6.161506926597329
15,linear,256,12,1057,taxi,taxi:1057,5.974918842315674,1.4937297105789185,5.9511602317373375
15,linear,256,14,152,taxi,taxi:152,14.784059524536133,3.696014881134033,6.218521328348863
15,linear,256,19,270,taxi,taxi:270,8.331385612487793,2.0828464031219482,5.870577456333019
15,linear,256,20,3139,taxi,taxi:3139,30.090892791748047,7.522723197937012,6.0812831576670305
15,linear,256,22,3717,taxi,taxi:3717,24.512147903442383,6.128036975860596,7.815317386768824
15,linear,256,24,11235,taxi,taxi:11235,19.5429744720459,4.885743618011475,6.3158574409255674
15,linear,256,25,99,taxi,taxi:99,16.750017166137695,4.187504291534424,7.272852107731983
15,linear,256,27,6644,taxi,taxi:6644,5.002402305603027,1.2506005764007568,7.513602121614821
15,linear,256,32,4528,taxi,taxi:4528,9.451966285705566,2.3629915714263916,6.589089675895317
15,linear,256,35,1046,taxi,taxi:1046,11.809839248657227,2.9524598121643066,6.76340351095619
15,linear,256,40,447,taxi,taxi:447,21.00889778137207,5.252224445343018,7.303134160287161
15,linear,256,41,17800,taxi,taxi:17800,11.55678939819336,2.88919734954834,6.687252566854606
15,linear,256,42,1930,taxi,taxi:1930,25.543264389038086,6.3858160972595215,6.092760090012624
15,linear,256,43,416,taxi,taxi:416,20.91659927368164,5.22914981842041,6.024602918097606
15,linear,256,45,26061,taxi,taxi:26061,8.788337707519531,2.197084426879883,6.244318049778562
15,linear,256,48,11959,taxi,taxi:11959,22.807159423828125,5.701789855957031,6.262875820035589
15,linear,256,49,637,taxi,taxi:637,15.933507919311523,3.983376979827881,6.105484517066033
15,linear,256,50,22003,taxi,taxi:22003,12.947319984436035,3.236829996109009,6.541726324767713
