user_id,mode,num_points,fraction_of_user_points
abboip,taxi,3042,1.0
abcoij,taxi,1171,1.0
abdrem,taxi,3197,1.0
abgibo,taxi,3171,1.0
abjool,taxi,2325,1.0
abmuya,taxi,2997,1.0
abniar,taxi,3334,1.0
abnovk,taxi,2932,1.0
abtyff,taxi,3086,1.0
abwecn,taxi,3135,1.0
abyalw,taxi,3059,1.0
acdiyi,taxi,2548,1.0
acduou,taxi,3059,1.0
acgerl,taxi,2019,1.0
acitva,taxi,2636,1.0
ackgri,taxi,1709,1.0
acpegh,taxi,3378,1.0
acvebr,taxi,3037,1.0
adkavy,taxi,2680,1.0
adners,taxi,3122,1.0
adpaif,taxi,3109,1.0
aducri,taxi,3019,1.0
afmorc,taxi,2990,1.0
afpans,taxi,3226,1.0
afsfat,taxi,2907,1.0
afweka,taxi,3078,1.0
agcowk,taxi,2910,1.0
agdrea,taxi,2914,1.0
aggjuo,taxi,3320,1.0
agivle,taxi,3208,1.0
agjitf,taxi,3310,1.0
agsuec,taxi,2979,1.0
agvexp,taxi,2866,1.0
agyamk,taxi,2390,1.0
aichas,taxi,2818,1.0
ailbcu,taxi,2739,1.0
aimidd,taxi,3005,1.0
ainpli,taxi,3189,1.0
aitpyg,taxi,3169,1.0
aivtyt,taxi,2456,1.0
aiwalb,taxi,2987,1.0
ajixdo,taxi,2428,1.0
ajsips,taxi,3200,1.0
ajsned,taxi,3193,1.0
ajthof,taxi,3014,1.0
ajtreo,taxi,2506,1.0
akgicj,taxi,3221,1.0
akvutv,taxi,3162,1.0
akyeer,taxi,3035,1.0
aldhid,taxi,2704,1.0
alnihi,taxi,3195,1.0
alshet,taxi,3059,1.0
amciuc,taxi,2882,1.0
amknyw,taxi,3167,1.0
amnurg,taxi,2327,1.0
amvefa,taxi,2726,1.0
amwibs,taxi,3254,1.0
ancedv,taxi,1049,1.0
ancorj,taxi,2812,1.0
ancycl,taxi,2881,1.0
andyol,taxi,3325,1.0
aniajc,taxi,3144,1.0
anidgi,taxi,3061,1.0
ankped,taxi,3229,1.0
ansyut,taxi,3010,1.0
anucks,taxi,3120,1.0
anupwr,taxi,2725,1.0
apigcy,taxi,3214,1.0
appsri,taxi,2912,1.0
apssky,taxi,3141,1.0
aquawa,taxi,3101,1.0
arcksy,taxi,3292,1.0
arcuim,taxi,2954,1.0
arcurb,taxi,3212,1.0
arhilb,taxi,3177,1.0
arlwra,taxi,3129,1.0
arphau,taxi,3170,1.0
