Epoch 1: Recon_RMSE_km=2.885599 target_RMSE_km=10.000000, VQ=169.436561, Pred=6.322522, Ent=5.935813
Epoch 2: Recon_RMSE_km=8.391430 target_RMSE_km=10.000000, VQ=2.219643, Pred=0.076896, Ent=0.843438
Epoch 3: Recon_RMSE_km=8.690695 target_RMSE_km=10.000000, VQ=0.850364, Pred=0.001330, Ent=0.077009
Epoch 4: Recon_RMSE_km=8.560039 target_RMSE_km=10.000000, VQ=0.684666, Pred=0.002684, Ent=0.087920
Epoch 5: Recon_RMSE_km=8.569996 target_RMSE_km=10.000000, VQ=0.419278, Pred=0.000775, Ent=0.029290
Epoch 6: Recon_RMSE_km=7.752491 target_RMSE_km=10.000000, VQ=0.128203, Pred=0.000000, Ent=0.000867
Epoch 7: Recon_RMSE_km=8.342170 target_RMSE_km=10.000000, VQ=0.530464, Pred=0.001812, Ent=0.067087
Epoch 8: Recon_RMSE_km=7.540774 target_RMSE_km=10.000000, VQ=0.100257, Pred=0.000000, Ent=0.000590
Epoch 9: Recon_RMSE_km=7.876796 target_RMSE_km=10.000000, VQ=0.244967, Pred=0.000406, Ent=0.019427
Epoch 10: Recon_RMSE_km=7.620165 target_RMSE_km=10.000000, VQ=0.074292, Pred=0.000000, Ent=0.000017
Epoch 11: Recon_RMSE_km=7.711289 target_RMSE_km=10.000000, VQ=0.170377, Pred=0.000680, Ent=0.021993
Epoch 12: Recon_RMSE_km=8.109157 target_RMSE_km=10.000000, VQ=0.093968, Pred=0.000001, Ent=0.000071
Epoch 13: Recon_RMSE_km=8.009631 target_RMSE_km=10.000000, VQ=0.144287, Pred=0.000262, Ent=0.008691
Epoch 14: Recon_RMSE_km=7.389832 target_RMSE_km=10.000000, VQ=0.049664, Pred=0.000000, Ent=0.000011
Epoch 15: Recon_RMSE_km=6.976496 target_RMSE_km=10.000000, VQ=0.029636, Pred=0.000000, Ent=0.000068
Epoch 16: Recon_RMSE_km=6.840010 target_RMSE_km=10.000000, VQ=0.009725, Pred=0.000000, Ent=0.000000
Epoch 17: Recon_RMSE_km=7.766681 target_RMSE_km=10.000000, VQ=0.050294, Pred=0.000017, Ent=0.000258
Epoch 18: Recon_RMSE_km=7.816806 target_RMSE_km=10.000000, VQ=0.029826, Pred=0.000000, Ent=0.000026
Epoch 19: Recon_RMSE_km=7.344616 target_RMSE_km=10.000000, VQ=0.011891, Pred=0.000000, Ent=0.000003
Epoch 20: Recon_RMSE_km=7.318529 target_RMSE_km=10.000000, VQ=0.009401, Pred=0.000000, Ent=0.000008
Epoch 21: Recon_RMSE_km=7.096171 target_RMSE_km=10.000000, VQ=0.021434, Pred=0.000028, Ent=0.000137
Epoch 22: Recon_RMSE_km=7.980919 target_RMSE_km=10.000000, VQ=0.057662, Pred=0.000001, Ent=0.000049
Epoch 23: Recon_RMSE_km=7.454828 target_RMSE_km=10.000000, VQ=0.031663, Pred=0.000001, Ent=0.000023
Epoch 24: Recon_RMSE_km=7.168979 target_RMSE_km=10.000000, VQ=0.011612, Pred=0.000000, Ent=0.000000
Epoch 25: Recon_RMSE_km=7.007054 target_RMSE_km=10.000000, VQ=0.005788, Pred=0.000000, Ent=0.000000
Epoch 26: Recon_RMSE_km=7.010798 target_RMSE_km=10.000000, VQ=0.003053, Pred=0.000000, Ent=0.000000
Epoch 27: Recon_RMSE_km=7.014399 target_RMSE_km=10.000000, VQ=0.001537, Pred=0.000000, Ent=0.000000
Epoch 28: Recon_RMSE_km=7.014384 target_RMSE_km=10.000000, VQ=0.000761, Pred=0.000000, Ent=0.000000
Epoch 29: Recon_RMSE_km=7.011125 target_RMSE_km=10.000000, VQ=0.000411, Pred=0.000000, Ent=0.000000
Epoch 30: Recon_RMSE_km=7.914830 target_RMSE_km=10.000000, VQ=0.014391, Pred=0.000011, Ent=0.000038
Epoch 31: Recon_RMSE_km=8.179036 target_RMSE_km=10.000000, VQ=0.041096, Pred=0.000008, Ent=0.000150
