user_id,trajectory_id,segment_id,sample_interval_min,interpolation_method,tolerance_km,dominant_mode,num_points,actual_distortion_km,reconstruction_rmse_km,codebook_size,eligible_for_vq,method,entropy_rate_bits,predictability,alphabet_size
abboip,abboip,abboip_seg000,30,linear,10.0,taxi,1007,4.462922482181061,4.587563206937016,,True,direct_ctw,1.1520331124918286,0.8266367507742705,8.0
abboip,abboip,abboip_seg000,30,linear,10.0,taxi,1007,4.462922482181061,4.587563206937016,,True,markov_order_1,1.3582695595059542,0.7841960513318327,8.0
abboip,abboip,abboip_seg000,30,linear,10.0,taxi,1007,4.462922482181061,4.587563206937016,,True,markov_order_2,1.326975740098026,0.7908579118369383,8.0
abcoij,abcoij,abcoij_seg000,30,linear,10.0,taxi,574,5.163456206064291,5.240247877438817,,True,direct_ctw,0.17324037276329743,0.9799860288903296,4.0
abcoij,abcoij,abcoij_seg000,30,linear,10.0,taxi,574,5.163456206064291,5.240247877438817,,True,markov_order_1,0.20478083215197784,0.9755089170930245,4.0
abcoij,abcoij,abcoij_seg000,30,linear,10.0,taxi,574,5.163456206064291,5.240247877438817,,True,markov_order_2,0.19287950999391024,0.9772204310274452,4.0
abdrem,abdrem,abdrem_seg000,30,linear,10.0,taxi,1003,4.198810436669403,4.372635243814736,,True,direct_ctw,1.6117380960741026,0.7848626195913071,17.0
abdrem,abdrem,abdrem_seg000,30,linear,10.0,taxi,1003,4.198810436669403,4.372635243814736,,True,markov_order_1,1.9992343994295296,0.7155517294591173,17.0
abdrem,abdrem,abdrem_seg000,30,linear,10.0,taxi,1003,4.198810436669403,4.372635243814736,,True,markov_order_2,2.1146592746034965,0.6935835483014436,17.0
abgibo,abgibo,abgibo_seg000,30,linear,10.0,taxi,1007,4.305275452519697,4.481241814546662,,True,direct_ctw,1.4718936517304373,0.7940679012093399,13.0
abgibo,abgibo,abgibo_seg000,30,linear,10.0,taxi,1007,4.305275452519697,4.481241814546662,,True,markov_order_1,1.7516311424101112,0.7414130387182641,13.0
