user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,5,nearest,,5.0,95.0,0.9254375945315935,0.5781741048637734,1.6603462852422435,1.8583249793922443
abboip,markov_order_1,5,nearest,,5.0,95.0,0.8589051638003905,0.8828901954993527,1.6603462852422435,1.8583249793922443
abboip,markov_order_2,5,nearest,,5.0,95.0,0.8595673914542383,0.8424121693466627,1.6603462852422435,1.8583249793922443
abboip,vq_ctw,5,nearest,256.0,5.0,95.0,1.0,0.0,4.2661781552180935,4.2661781552180935
abboip,vq_ctw,5,nearest,512.0,5.0,95.0,1.0,0.0,4.337907774887778,4.337907774887778
abboip,vq_ctw,5,nearest,1024.0,5.0,95.0,0.9628218317710113,0.2785129878283402,4.4454597244001635,4.4454597244001635
abdrem,direct_ctw,5,nearest,,5.0,36.0,0.9024678352276305,0.8112012075938089,1.923457912217226,2.042446591844839
abdrem,markov_order_1,5,nearest,,5.0,36.0,0.8864539024058561,1.113596257518114,1.923457912217226,2.042446591844839
abdrem,markov_order_2,5,nearest,,5.0,36.0,0.8864539024058561,0.9944426674247511,1.923457912217226,2.042446591844839
abdrem,vq_ctw,5,nearest,256.0,5.0,36.0,1.0,0.0,4.610772804708118,4.610772804708118
abdrem,vq_ctw,5,nearest,512.0,5.0,36.0,1.0,0.0,5.156085088062422,5.156085088062422
abdrem,vq_ctw,5,nearest,1024.0,5.0,36.0,0.9287701215058016,0.5663239382902824,4.997789644911965,4.997789644911965
abgibo,direct_ctw,5,nearest,,5.0,85.0,0.9069420662826411,0.5310986073066495,1.8371171782445377,1.9780431484493286
abgibo,markov_order_1,5,nearest,,5.0,85.0,0.8412213945661332,0.7960702681486178,1.8371171782445377,1.9780431484493286
abgibo,markov_order_2,5,nearest,,5.0,85.0,0.8287227902941043,0.82794353381379,1.8371171782445377,1.9780431484493286
abgibo,vq_ctw,5,nearest,256.0,5.0,85.0,1.0,0.0,5.448519502540641,5.448519502540641
abgibo,vq_ctw,5,nearest,512.0,5.0,85.0,1.0,0.0,5.944854942443646,5.944854942443646
abgibo,vq_ctw,5,nearest,1024.0,5.0,85.0,0.9999999999980904,0.4345625228428581,5.408592711650352,5.408592711650352
abjool,direct_ctw,5,nearest,,5.0,18.0,1.0,0.0,1.1699685575300576,1.3421366946266509
abjool,markov_order_1,5,nearest,,5.0,18.0,1.0,0.0,1.1699685575300576,1.3421366946266509
abjool,markov_order_2,5,nearest,,5.0,18.0,1.0,0.0,1.1699685575300576,1.3421366946266509
