user_id,sample_interval_min,interpolation_method,taxi
abboip,15,linear,2014
abboip,15,nearest,1028
abcoij,15,linear,1147
abcoij,15,nearest,24
abdrem,15,linear,2006
abdrem,15,nearest,1191
abgibo,15,linear,2015
abgibo,15,nearest,1156
abjool,15,linear,2015
abjool,15,nearest,310
abmuya,15,linear,1986
abmuya,15,nearest,1011
abniar,15,linear,2015
abniar,15,nearest,1319
abnovk,15,linear,1990
abnovk,15,nearest,942
abtyff,15,linear,2013
abtyff,15,nearest,1073
abwecn,15,linear,2015
abwecn,15,nearest,1120
abyalw,15,linear,2014
abyalw,15,nearest,1045
acdiyi,15,linear,2014
acdiyi,15,nearest,534
acduou,15,linear,2015
acduou,15,nearest,1044
acgerl,15,linear,1373
acgerl,15,nearest,646
acitva,15,linear,2015
acitva,15,nearest,621
ackgri,15,linear,1183
ackgri,15,nearest,526
acpegh,15,linear,2014
acpegh,15,nearest,1364
acvebr,15,linear,1988
acvebr,15,nearest,1049
adkavy,15,linear,2015
adkavy,15,nearest,665
adners,15,linear,2015
adners,15,nearest,1107
adpaif,15,linear,1983
adpaif,15,nearest,1126
aducri,15,linear,2015
aducri,15,nearest,1004
afmorc,15,linear,2015
afmorc,15,nearest,975
afpans,15,linear,2015
afpans,15,nearest,1211
afsfat,15,linear,2005
afsfat,15,nearest,902
afweka,15,linear,2014
afweka,15,nearest,1064
agcowk,15,linear,2015
agcowk,15,nearest,895
agdrea,15,linear,2015
agdrea,15,nearest,899
aggjuo,15,linear,2016
aggjuo,15,nearest,1304
agivle,15,linear,2015
agivle,15,nearest,1193
agjitf,15,linear,2015
agjitf,15,nearest,1295
agsuec,15,linear,2013
agsuec,15,nearest,966
agvexp,15,linear,2012
agvexp,15,nearest,854
agyamk,15,linear,2008
agyamk,15,nearest,382
aichas,15,linear,2015
aichas,15,nearest,803
ailbcu,15,linear,2011
ailbcu,15,nearest,728
aimidd,15,linear,2015
aimidd,15,nearest,990
ainpli,15,linear,2014
ainpli,15,nearest,1175
aitpyg,15,linear,2015
aitpyg,15,nearest,1154
aivtyt,15,linear,1649
aivtyt,15,nearest,807
aiwalb,15,linear,2015
aiwalb,15,nearest,972
ajixdo,15,linear,1634
ajixdo,15,nearest,794
ajsips,15,linear,2014
ajsips,15,nearest,1186
ajsned,15,linear,2014
ajsned,15,nearest,1179
ajthof,15,linear,1984
ajthof,15,nearest,1030
ajtreo,15,linear,2010
ajtreo,15,nearest,496
akgicj,15,linear,2015
akgicj,15,nearest,1206
akvutv,15,linear,2015
akvutv,15,nearest,1147
akyeer,15,linear,1979
akyeer,15,nearest,1056
aldhid,15,linear,2012
aldhid,15,nearest,692
alnihi,15,linear,2015
alnihi,15,nearest,1180
alshet,15,linear,2013
alshet,15,nearest,1046
amciuc,15,linear,1980
amciuc,15,nearest,902
amknyw,15,linear,2015
amknyw,15,nearest,1152
amnurg,15,linear,1685
amnurg,15,nearest,642
amvefa,15,linear,2015
amvefa,15,nearest,711
amwibs,15,linear,2015
amwibs,15,nearest,1239
