scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_5km_int_30min,abboip,direct_ctw,30,linear,,5.0,1007.0,0.8548472616523393,1.1908823243481808,1.610407800165294,1.7647526387723975
tol_5km_int_30min,abboip,direct_ctw,30,nearest,,5.0,114.0,0.8344133202107,1.0150847619274428,1.589343338360802,1.7780863204418351
tol_5km_int_30min,abboip,markov_order_1,30,linear,,5.0,1007.0,0.7941122353071053,1.5751070562403715,1.610407800165294,1.7647526387723975
tol_5km_int_30min,abboip,markov_order_1,30,nearest,,5.0,114.0,0.6161601821044097,1.829541579154248,1.589343338360802,1.7780863204418351
tol_5km_int_30min,abboip,markov_order_2,30,linear,,5.0,1007.0,0.7825947020895715,1.6440373484363602,1.610407800165294,1.7647526387723975
tol_5km_int_30min,abboip,markov_order_2,30,nearest,,5.0,114.0,0.6542322316056857,1.7135915128549823,1.589343338360802,1.7780863204418351
tol_5km_int_30min,abboip,vq_ctw,30,linear,256.0,5.0,1007.0,0.9999999999980904,0.0667464237828248,3.713673636974825,3.713673636974825
tol_5km_int_30min,abboip,vq_ctw,30,nearest,256.0,5.0,114.0,0.8906830364507223,0.8014467613659488,4.421939531232122,4.421939531232122
tol_5km_int_30min,abboip,vq_ctw,30,linear,512.0,5.0,1007.0,0.993229106882532,0.0653001044250041,3.988309488374012,3.988309488374012
tol_5km_int_30min,abboip,vq_ctw,30,nearest,512.0,5.0,114.0,0.8683482076701889,0.8921943135411788,4.209075908897344,4.209075908897344
tol_5km_int_30min,abboip,vq_ctw,30,linear,1024.0,5.0,1007.0,0.993210850660867,0.0654497081921,3.803026091167896,3.803026091167896
tol_5km_int_30min,abboip,vq_ctw,30,nearest,1024.0,5.0,114.0,0.857590792923573,0.9892622329562476,4.124937628659535,4.124937628659535
tol_5km_int_30min,abcoij,direct_ctw,30,linear,,5.0,574.0,0.9787596192899828,0.1976680456393592,2.121490679076195,2.206051457932084
tol_5km_int_30min,abcoij,markov_order_1,30,linear,,5.0,574.0,0.9687744519314666,0.2730046476346114,2.121490679076195,2.206051457932084
tol_5km_int_30min,abcoij,markov_order_2,30,linear,,5.0,574.0,0.9697166284012994,0.2661267791226295,2.121490679076195,2.206051457932084
tol_5km_int_30min,abcoij,vq_ctw,30,linear,256.0,5.0,574.0,1.0,0.0,2.978706228692604,2.978706228692604
tol_5km_int_30min,abcoij,vq_ctw,30,linear,512.0,5.0,574.0,1.0,0.0,2.926797840454376,2.926797840454376
tol_5km_int_30min,abcoij,vq_ctw,30,linear,1024.0,5.0,574.0,1.0,0.0,2.975956677438429,2.975956677438429
tol_5km_int_30min,abdrem,direct_ctw,30,linear,,5.0,1003.0,0.7989478375232852,1.7791346105074002,1.6636181339711988,1.8187930922350413
tol_5km_int_30min,abdrem,direct_ctw,30,nearest,,5.0,139.0,0.8199859632012775,1.0588951229417138,1.7433433918310497,1.890899376546729
tol_5km_int_30min,abdrem,markov_order_1,30,linear,,5.0,1003.0,0.6734896800477314,2.6248236730717105,1.6636181339711988,1.8187930922350413
tol_5km_int_30min,abdrem,markov_order_1,30,nearest,,5.0,139.0,0.6072370061864808,1.8090426731420808,1.7433433918310497,1.890899376546729
tol_5km_int_30min,abdrem,markov_order_2,30,linear,,5.0,1003.0,0.6136741615480332,2.98979750056634,1.6636181339711988,1.8187930922350413
tol_5km_int_30min,abdrem,markov_order_2,30,nearest,,5.0,139.0,0.6259117776105884,1.7515023442063542,1.7433433918310497,1.890899376546729
tol_5km_int_30min,abdrem,vq_ctw,30,linear,256.0,5.0,1003.0,0.9693193192351536,0.2690323707225095,5.721638559720017,5.721638559720017
tol_5km_int_30min,abdrem,vq_ctw,30,nearest,256.0,5.0,139.0,0.8591075196669526,1.011303894425719,4.412617944004349,4.412617944004349
tol_5km_int_30min,abdrem,vq_ctw,30,linear,512.0,5.0,1003.0,0.96322780195531,0.3223466153338704,5.813898994916765,5.813898994916765
tol_5km_int_30min,abdrem,vq_ctw,30,nearest,512.0,5.0,139.0,0.8772778199974308,0.9042802861254848,4.451983727908227,4.451983727908227
tol_5km_int_30min,abdrem,vq_ctw,30,linear,1024.0,5.0,1003.0,0.9686266778143996,0.2823317859825256,5.618073384298991,5.618073384298991
tol_5km_int_30min,abdrem,vq_ctw,30,nearest,1024.0,5.0,139.0,0.8719752579189269,0.9834544536107268,4.672079199246136,4.672079199246136
