user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,30,linear,,5.0,1007.0,0.8548472616523393,1.1908823243481808,1.610407800165294,1.7647526387723975
abboip,direct_ctw,30,nearest,,5.0,114.0,0.8344133202107,1.0150847619274428,1.589343338360802,1.7780863204418351
abboip,markov_order_1,30,linear,,5.0,1007.0,0.7941122353071053,1.5751070562403715,1.610407800165294,1.7647526387723975
abboip,markov_order_1,30,nearest,,5.0,114.0,0.6161601821044097,1.8295415791542482,1.589343338360802,1.7780863204418351
abboip,markov_order_2,30,linear,,5.0,1007.0,0.7825947020895715,1.6440373484363602,1.610407800165294,1.7647526387723975
abboip,markov_order_2,30,nearest,,5.0,114.0,0.6542322316056857,1.7135915128549823,1.589343338360802,1.7780863204418351
abboip,vq_ctw,30,linear,256.0,5.0,1007.0,0.9999999999980905,0.06674642378282485,3.713673636974825,3.713673636974825
abboip,vq_ctw,30,linear,512.0,5.0,1007.0,0.9932291068825321,0.06530010442500417,3.9883094883740116,3.9883094883740116
abboip,vq_ctw,30,linear,1024.0,5.0,1007.0,0.993210850660867,0.06544970819210005,3.8030260911678955,3.8030260911678955
abboip,vq_ctw,30,nearest,256.0,5.0,114.0,0.8906830364507223,0.8014467613659488,4.421939531232122,4.421939531232122
abboip,vq_ctw,30,nearest,512.0,5.0,114.0,0.8683482076701889,0.8921943135411788,4.209075908897344,4.209075908897344
abboip,vq_ctw,30,nearest,1024.0,5.0,114.0,0.857590792923573,0.9892622329562475,4.124937628659535,4.124937628659535
abcoij,direct_ctw,30,linear,,5.0,574.0,0.9787596192899828,0.19766804563935925,2.121490679076195,2.2060514579320833
abcoij,markov_order_1,30,linear,,5.0,574.0,0.9687744519314666,0.27300464763461146,2.121490679076195,2.2060514579320833
abcoij,markov_order_2,30,linear,,5.0,574.0,0.9697166284012994,0.2661267791226295,2.121490679076195,2.2060514579320833
