user_id,start_time,end_time,mode
abboip,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abcoij,2008-05-22T10:00:00,2008-06-03T08:30:00,taxi
abdrem,2008-05-18T02:00:00,2008-06-07T23:00:00,taxi
abgibo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abjool,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abmuya,2008-05-18T07:30:00,2008-06-07T23:30:00,taxi
abniar,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abnovk,2008-05-18T06:30:00,2008-06-07T23:30:00,taxi
abtyff,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abwecn,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
abyalw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
acdiyi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
acduou,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
acgerl,2008-05-24T17:00:00,2008-06-07T23:30:00,taxi
acitva,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ackgri,2008-05-18T00:30:00,2008-05-30T07:30:00,taxi
acpegh,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
acvebr,2008-05-18T00:30:00,2008-06-07T17:00:00,taxi
adkavy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
adners,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
adpaif,2008-05-18T00:30:00,2008-06-07T15:30:00,taxi
aducri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
afmorc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
afpans,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
afsfat,2008-05-18T00:30:00,2008-06-07T21:00:00,taxi
afweka,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
agcowk,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
agdrea,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aggjuo,2008-05-18T00:00:00,2008-06-07T23:30:00,taxi
agivle,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
agjitf,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
agsuec,2008-05-18T00:00:00,2008-06-07T23:00:00,taxi
agvexp,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
agyamk,2008-05-18T01:00:00,2008-06-07T22:30:00,taxi
aichas,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ailbcu,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
aimidd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ainpli,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aitpyg,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aivtyt,2008-05-18T00:30:00,2008-06-04T04:00:00,taxi
aiwalb,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ajixdo,2008-05-18T00:30:00,2008-06-04T00:30:00,taxi
ajsips,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ajsned,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ajthof,2008-05-18T08:00:00,2008-06-07T23:30:00,taxi
ajtreo,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
akgicj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
akvutv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
akyeer,2008-05-18T09:00:00,2008-06-07T23:30:00,taxi
aldhid,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
alnihi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
alshet,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
amciuc,2008-05-18T00:30:00,2008-06-07T15:00:00,taxi
amknyw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
amnurg,2008-05-21T06:30:00,2008-06-07T19:30:00,taxi
amvefa,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
amwibs,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ancedv,2008-05-31T18:30:00,2008-06-07T23:00:00,taxi
ancorj,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
ancycl,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
andyol,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aniajc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
anidgi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ankped,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ansyut,2008-05-18T00:30:00,2008-06-07T21:00:00,taxi
anucks,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
anupwr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
apigcy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
appsri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
apssky,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aquawa,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
arcksy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
arcuim,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
