sample_interval_min,tolerance_km,best_codebook_size,num_points,best_vq_predictability,best_vq_rmse_km
5,2.5,1024.0,3025591.0,0.9283450168409113,2.180008525486406
5,5.0,256.0,48768.0,1.0,4.499732103044045
5,7.5,256.0,48768.0,1.0,5.803796876020238
5,10.0,256.0,48768.0,1.0,8.126322456799894
15,2.5,512.0,1096790.0,0.8566864239939791,2.18780863091085
15,5.0,1024.0,1096790.0,0.9941106118468638,4.759108792258314
15,7.5,256.0,1096790.0,1.0,6.404087448673631
15,10.0,256.0,1096790.0,1.0,7.0195109468932815
30,2.5,1024.0,564838.0,0.8323378455557592,2.3062159980540744
30,5.0,256.0,564838.0,0.9735476691043639,4.697496771223629
30,7.5,1024.0,564838.0,0.9993109755640919,6.22058702465813
30,10.0,512.0,564838.0,1.0,7.130853718393066
