run_subdir,scenario_subdir,sample_interval_min,interpolation_method,tolerance_km,direct_predictability,direct_rmse_km,best_vq_codebook_size,best_vq_predictability,best_vq_rmse_km,predictability_gap_direct_minus_best_vq
sf_run_1980198_task_0,tol_2p5km_int_5min,5,linear,2.5,0.863153851510806,1.0328124276149757,1024.0,0.9283706445269005,2.1795275831598286,-0.06521679301609451
sf_run_1980198_task_0,tol_2p5km_int_5min,5,nearest,2.5,0.8452971012622309,1.0588199214309844,1024.0,0.8734952757510728,3.209346956700104,-0.028198174488841876
sf_run_1980198_task_3,tol_5km_int_5min,5,nearest,5.0,0.9389050365335398,1.7511828684890423,256.0,1.0,4.499732103044045,-0.06109496346646015
sf_run_1980198_task_6,tol_7p5km_int_5min,5,nearest,7.5,0.9976703472625824,2.1886859920546526,256.0,1.0,5.803796876020238,-0.002329652737417587
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,0.9399242152096108,4.533848470055166,256.0,1.0,8.126322456799894,-0.06007578479038922
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,0.8273372956688559,1.0326206466451733,512.0,0.8558803576126744,2.166331648123428,-0.028543061943818504
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,0.8519233881189846,1.041357756584301,512.0,0.865821722128037,2.4312112157768304,-0.013898334009052382
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,0.8777041873526822,1.8019028636133319,256.0,0.9941255899074668,4.694090858655134,-0.11642140255478461
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,0.8382683710342502,1.8072287314460391,512.0,0.9975417174115369,4.3512524544368425,-0.15927334637728663
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,0.9367119897297138,2.439983158162476,256.0,1.0,6.409732390289023,-0.06328801027028619
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,0.9421424910181392,2.3969933264782335,256.0,1.0,6.340112290048994,-0.05785750898186082
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,0.8706949600747369,4.49334144331094,256.0,1.0,6.826988600311193,-0.1293050399252631
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,0.8294428644077887,4.494710948525671,256.0,1.0,9.201402009821708,-0.1705571355922113
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,0.8074832037913038,1.0329664330415935,1024.0,0.8285119752575998,2.2667817658753413,-0.021028771466296003
sf_run_1980198_task_2,tol_2p5km_int_30min,30,nearest,2.5,0.8571111035224479,1.030943456171868,256.0,0.8711409926444331,2.820426994058161,-0.014029889121985217
sf_run_1980198_task_5,tol_5km_int_30min,30,linear,5.0,0.8424521663547219,1.801741737700979,256.0,0.9866154824147456,4.708460180536412,-0.14416331606002375
sf_run_1980198_task_5,tol_5km_int_30min,30,nearest,5.0,0.8333307659475215,1.7745933082959746,512.0,0.8734200455145897,4.560378080740867,-0.0400892795670682
sf_run_1980198_task_8,tol_7p5km_int_30min,30,linear,7.5,0.9101611061799096,2.440231167529184,256.0,1.0,6.318021310697977,-0.08983889382009036
sf_run_1980198_task_8,tol_7p5km_int_30min,30,nearest,7.5,0.9074932906885672,2.493277168304076,1024.0,0.9936280299890394,6.013498071693609,-0.08613473930047222
sf_run_1980198_task_11,tol_10km_int_30min,30,linear,10.0,0.8271555368880413,4.493526902561189,256.0,1.0,7.125821820603874,-0.17284446311195867
sf_run_1980198_task_11,tol_10km_int_30min,30,nearest,10.0,0.8207821101703413,4.381274045534755,512.0,1.0,8.41372565068334,-0.1792178898296587
