user_id,sample_interval_min,interpolation_method,mode,num_points
abboip,5,linear,taxi,6044
abboip,5,nearest,taxi,1096
abcoij,5,linear,taxi,3440
abcoij,5,nearest,taxi,30
abdrem,5,linear,taxi,6020
abdrem,5,nearest,taxi,776
abgibo,5,linear,taxi,6047
abgibo,5,nearest,taxi,1166
abjool,5,linear,taxi,6046
abjool,5,nearest,taxi,386
abmuya,5,linear,taxi,5957
abmuya,5,nearest,taxi,1187
abniar,5,linear,taxi,6045
abniar,5,nearest,taxi,1322
abnovk,5,linear,taxi,5969
abnovk,5,nearest,taxi,880
abtyff,5,linear,taxi,6041
abtyff,5,nearest,taxi,1078
abwecn,5,linear,taxi,6045
abwecn,5,nearest,taxi,1224
abyalw,5,linear,taxi,6041
abyalw,5,nearest,taxi,1148
acdiyi,5,linear,taxi,6044
acdiyi,5,nearest,taxi,485
acduou,5,linear,taxi,6047
acduou,5,nearest,taxi,1170
acgerl,5,linear,taxi,4119
acgerl,5,nearest,taxi,548
acitva,5,linear,taxi,6045
acitva,5,nearest,taxi,684
ackgri,5,linear,taxi,3549
ackgri,5,nearest,taxi,540
acpegh,5,linear,taxi,6043
acpegh,5,nearest,taxi,1816
acvebr,5,linear,taxi,5966
acvebr,5,nearest,taxi,1247
adkavy,5,linear,taxi,6045
adkavy,5,nearest,taxi,636
adners,5,linear,taxi,6047
adners,5,nearest,taxi,1164
adpaif,5,linear,taxi,5950
adpaif,5,nearest,taxi,1241
aducri,5,linear,taxi,6045
aducri,5,nearest,taxi,998
afmorc,5,linear,taxi,6045
afmorc,5,nearest,taxi,1007
afpans,5,linear,taxi,6045
afpans,5,nearest,taxi,1369
afsfat,5,linear,taxi,6016
afsfat,5,nearest,taxi,667
afweka,5,linear,taxi,6044
afweka,5,nearest,taxi,1058
agcowk,5,linear,taxi,6046
agcowk,5,nearest,taxi,1189
agdrea,5,linear,taxi,6046
agdrea,5,nearest,taxi,785
aggjuo,5,linear,taxi,6048
aggjuo,5,nearest,taxi,1390
agivle,5,linear,taxi,6046
agivle,5,nearest,taxi,1260
agjitf,5,linear,taxi,6047
agjitf,5,nearest,taxi,1418
agsuec,5,linear,taxi,6038
agsuec,5,nearest,taxi,904
agvexp,5,linear,taxi,6036
agvexp,5,nearest,taxi,587
agyamk,5,linear,taxi,6024
agyamk,5,nearest,taxi,317
aichas,5,linear,taxi,6047
aichas,5,nearest,taxi,740
ailbcu,5,linear,taxi,6035
ailbcu,5,nearest,taxi,793
aimidd,5,linear,taxi,6045
aimidd,5,nearest,taxi,1211
ainpli,5,linear,taxi,6044
ainpli,5,nearest,taxi,1241
aitpyg,5,linear,taxi,6046
aitpyg,5,nearest,taxi,1273
aivtyt,5,linear,taxi,4948
aivtyt,5,nearest,taxi,935
aiwalb,5,linear,taxi,6046
aiwalb,5,nearest,taxi,994
ajixdo,5,linear,taxi,4904
ajixdo,5,nearest,taxi,892
ajsips,5,linear,taxi,6044
ajsips,5,nearest,taxi,1277
ajsned,5,linear,taxi,6043
ajsned,5,nearest,taxi,1092
ajthof,5,linear,taxi,5952
ajthof,5,nearest,taxi,1217
ajtreo,5,linear,taxi,6031
ajtreo,5,nearest,taxi,335
akgicj,5,linear,taxi,6046
akgicj,5,nearest,taxi,1330
akvutv,5,linear,taxi,6045
akvutv,5,nearest,taxi,1269
akyeer,5,linear,taxi,5937
akyeer,5,nearest,taxi,1070
aldhid,5,linear,taxi,6038
aldhid,5,nearest,taxi,849
alnihi,5,linear,taxi,6045
alnihi,5,nearest,taxi,1116
alshet,5,linear,taxi,6041
alshet,5,nearest,taxi,1185
amciuc,5,linear,taxi,5940
amciuc,5,nearest,taxi,1004
amknyw,5,linear,taxi,6045
amknyw,5,nearest,taxi,1098
amnurg,5,linear,taxi,5055
amnurg,5,nearest,taxi,585
amvefa,5,linear,taxi,6046
amvefa,5,nearest,taxi,679
amwibs,5,linear,taxi,6047
amwibs,5,nearest,taxi,1140
ancedv,5,linear,taxi,2074
ancedv,5,nearest,taxi,469
ancorj,5,linear,taxi,6032
ancorj,5,nearest,taxi,457
ancycl,5,linear,taxi,6038
ancycl,5,nearest,taxi,842
andyol,5,linear,taxi,6047
andyol,5,nearest,taxi,1375
aniajc,5,linear,taxi,6047
aniajc,5,nearest,taxi,1246
anidgi,5,linear,taxi,6046
anidgi,5,nearest,taxi,1197
ankped,5,linear,taxi,6047
ankped,5,nearest,taxi,1140
ansyut,5,linear,taxi,6013
ansyut,5,nearest,taxi,1048
anucks,5,linear,taxi,6046
anucks,5,nearest,taxi,981
anupwr,5,linear,taxi,6045
