user_id,sample_interval_min,interpolation_method,taxi
abboip,5,linear,6044
abboip,5,nearest,1096
abcoij,5,linear,3440
abcoij,5,nearest,30
abdrem,5,linear,6020
abdrem,5,nearest,776
abgibo,5,linear,6047
abgibo,5,nearest,1166
abjool,5,linear,6046
abjool,5,nearest,386
abmuya,5,linear,5957
abmuya,5,nearest,1187
abniar,5,linear,6045
abniar,5,nearest,1322
abnovk,5,linear,5969
abnovk,5,nearest,880
abtyff,5,linear,6041
abtyff,5,nearest,1078
abwecn,5,linear,6045
abwecn,5,nearest,1224
abyalw,5,linear,6041
abyalw,5,nearest,1148
acdiyi,5,linear,6044
acdiyi,5,nearest,485
acduou,5,linear,6047
acduou,5,nearest,1170
acgerl,5,linear,4119
acgerl,5,nearest,548
acitva,5,linear,6045
acitva,5,nearest,684
ackgri,5,linear,3549
ackgri,5,nearest,540
acpegh,5,linear,6043
acpegh,5,nearest,1816
acvebr,5,linear,5966
acvebr,5,nearest,1247
adkavy,5,linear,6045
adkavy,5,nearest,636
adners,5,linear,6047
adners,5,nearest,1164
adpaif,5,linear,5950
adpaif,5,nearest,1241
aducri,5,linear,6045
aducri,5,nearest,998
afmorc,5,linear,6045
afmorc,5,nearest,1007
afpans,5,linear,6045
afpans,5,nearest,1369
afsfat,5,linear,6016
afsfat,5,nearest,667
afweka,5,linear,6044
afweka,5,nearest,1058
agcowk,5,linear,6046
agcowk,5,nearest,1189
agdrea,5,linear,6046
agdrea,5,nearest,785
aggjuo,5,linear,6048
aggjuo,5,nearest,1390
agivle,5,linear,6046
agivle,5,nearest,1260
agjitf,5,linear,6047
agjitf,5,nearest,1418
agsuec,5,linear,6038
agsuec,5,nearest,904
agvexp,5,linear,6036
agvexp,5,nearest,587
agyamk,5,linear,6024
agyamk,5,nearest,317
aichas,5,linear,6047
aichas,5,nearest,740
ailbcu,5,linear,6035
ailbcu,5,nearest,793
aimidd,5,linear,6045
aimidd,5,nearest,1211
ainpli,5,linear,6044
ainpli,5,nearest,1241
aitpyg,5,linear,6046
aitpyg,5,nearest,1273
aivtyt,5,linear,4948
aivtyt,5,nearest,935
aiwalb,5,linear,6046
aiwalb,5,nearest,994
ajixdo,5,linear,4904
ajixdo,5,nearest,892
ajsips,5,linear,6044
ajsips,5,nearest,1277
ajsned,5,linear,6043
ajsned,5,nearest,1092
ajthof,5,linear,5952
ajthof,5,nearest,1217
ajtreo,5,linear,6031
ajtreo,5,nearest,335
akgicj,5,linear,6046
akgicj,5,nearest,1330
akvutv,5,linear,6045
akvutv,5,nearest,1269
akyeer,5,linear,5937
akyeer,5,nearest,1070
aldhid,5,linear,6038
aldhid,5,nearest,849
alnihi,5,linear,6045
alnihi,5,nearest,1116
alshet,5,linear,6041
alshet,5,nearest,1185
amciuc,5,linear,5940
amciuc,5,nearest,1004
amknyw,5,linear,6045
amknyw,5,nearest,1098
amnurg,5,linear,5055
amnurg,5,nearest,585
amvefa,5,linear,6046
amvefa,5,nearest,679
amwibs,5,linear,6047
amwibs,5,nearest,1140
ancedv,5,linear,2074
ancedv,5,nearest,469
ancorj,5,linear,6032
ancorj,5,nearest,457
ancycl,5,linear,6038
ancycl,5,nearest,842
andyol,5,linear,6047
andyol,5,nearest,1375
aniajc,5,linear,6047
aniajc,5,nearest,1246
anidgi,5,linear,6046
anidgi,5,nearest,1197
ankped,5,linear,6047
ankped,5,nearest,1140
ansyut,5,linear,6013
ansyut,5,nearest,1048
anucks,5,linear,6046
anucks,5,nearest,981
anupwr,5,linear,6045
anupwr,5,nearest,707
apigcy,5,linear,6046
apigcy,5,nearest,1421
appsri,5,linear,6044
appsri,5,nearest,852
apssky,5,linear,6047
apssky,5,nearest,1221
aquawa,5,linear,6045
aquawa,5,nearest,1336
arcksy,5,linear,6046
arcksy,5,nearest,1479
arcuim,5,linear,6041
arcuim,5,nearest,910
arcurb,5,linear,6044
arcurb,5,nearest,1125
arhilb,5,linear,6045
arhilb,5,nearest,1170
arlwra,5,linear,6044
arlwra,5,nearest,893
arphau,5,linear,6047
arphau,5,nearest,1364
artgag,5,linear,5399
artgag,5,nearest,1473
ascley,5,linear,5972
ascley,5,nearest,1248
ashgat,5,linear,2883
ashgat,5,nearest,760
asigno,5,linear,6046
asigno,5,nearest,1280
askmec,5,linear,6044
askmec,5,nearest,866
aslagn,5,linear,6024
aslagn,5,nearest,699
aswift,5,linear,6047
aswift,5,nearest,1312
atcila,5,linear,6047
atcila,5,nearest,1181
atfrav,5,linear,4516
atfrav,5,nearest,540
atfrim,5,linear,6041
atfrim,5,nearest,907
atidfi,5,linear,6046
atidfi,5,nearest,1338
atnokv,5,linear,6038
atnokv,5,nearest,790
atsfiv,5,linear,998
atsfiv,5,nearest,128
atzumb,5,linear,6045
atzumb,5,nearest,1093
aucjun,5,linear,4931
aucjun,5,nearest,374
auctji,5,linear,6047
auctji,5,nearest,1102
aupcli,5,linear,1635
aupcli,5,nearest,145
aurjye,5,linear,6047
aurjye,5,nearest,666
avdyab,5,linear,6047
avdyab,5,nearest,1079
avglyb,5,linear,6046
avglyb,5,nearest,530
aviltl,5,linear,6040
aviltl,5,nearest,1043
avpavi,5,linear,6047
avpavi,5,nearest,1108
awnbeb,5,linear,5930
awnbeb,5,nearest,855
awrenb,5,linear,6041
awrenb,5,nearest,1449
awribi,5,linear,5791
awribi,5,nearest,1107
aydwah,5,linear,5812
aydwah,5,nearest,1445
ayfsdu,5,linear,6046
ayfsdu,5,nearest,1273
aygpha,5,linear,5572
aygpha,5,nearest,1105
aypudb,5,linear,6039
aypudb,5,nearest,1320
ayquas,5,linear,5558
ayquas,5,nearest,1207
ayquex,5,linear,6043
ayquex,5,nearest,1349
ayshek,5,linear,6047
ayshek,5,nearest,1089
ayshow,5,linear,6047
ayshow,5,nearest,48
aysmsl,5,linear,6046
aysmsl,5,nearest,1381
eacder,5,linear,6038
eacder,5,nearest,863
eadect,5,linear,6046
eadect,5,nearest,585
eagbac,5,linear,5450
eagbac,5,nearest,562
eapceo,5,linear,6047
eapceo,5,nearest,1577
easnsv,5,linear,6043
easnsv,5,nearest,418
eavcai,5,linear,6040
eavcai,5,nearest,1293
eavfli,5,linear,6028
eavfli,5,nearest,1397
ebcicy,5,linear,6046
ebcicy,5,nearest,1076
ebdafy,5,linear,6047
ebdafy,5,nearest,1346
ebenfr,5,linear,6045
ebenfr,5,nearest,839
ebrulr,5,linear,6047
ebrulr,5,nearest,568
ebstic,5,linear,6046
ebstic,5,nearest,750
eccest,5,linear,6044
eccest,5,nearest,1059
ecdiwo,5,linear,6045
ecdiwo,5,nearest,1063
ecfesy,5,linear,6046
ecfesy,5,nearest,1452
ecforj,5,linear,6040
ecforj,5,nearest,887
ecgojt,5,linear,6045
ecgojt,5,nearest,1214
ecjeod,5,linear,6046
ecjeod,5,nearest,1025
eckeck,5,linear,5121
eckeck,5,nearest,803
ecnopl,5,linear,6040
ecnopl,5,nearest,1317
eddreb,5,linear,6038
eddreb,5,nearest,1179
edeejd,5,linear,6046
edeejd,5,nearest,996
edglev,5,linear,6046
edglev,5,nearest,1186
edgrat,5,linear,6047
edgrat,5,nearest,1424
edjiye,5,linear,6047
edjiye,5,nearest,1342
edlyxy,5,linear,6047
edlyxy,5,nearest,1263
edmugr,5,linear,6005
edmugr,5,nearest,1245
ednill,5,linear,6043
