user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,15,linear,,2.5,2014.0,0.8456151285201849,1.4584387139432828,0.9605794752671885,1.0211688010443773
abboip,direct_ctw,15,nearest,,2.5,221.0,0.8540344630895377,1.066832207861011,0.9875397711203637,1.0456898101418817
abboip,markov_order_1,15,linear,,2.5,2014.0,0.7232141250856413,2.352947726354789,0.9605794752671885,1.0211688010443773
abboip,markov_order_1,15,nearest,,2.5,221.0,0.5245228534036066,2.523096650893378,0.9875397711203637,1.0456898101418817
abboip,markov_order_2,15,linear,,2.5,2014.0,0.6858280732991182,2.602710731423768,0.9605794752671885,1.0211688010443773
abboip,markov_order_2,15,nearest,,2.5,221.0,0.5349081067656886,2.491118703947593,0.9875397711203637,1.0456898101418817
abboip,vq_ctw,15,linear,256.0,2.5,2014.0,0.8272652322914658,1.6485868267865078,2.5496730646285135,2.5496730646285135
abboip,vq_ctw,15,linear,512.0,2.5,2014.0,0.8652162529171591,1.1213367272169912,1.946804405236722,1.946804405236722
abboip,vq_ctw,15,linear,1024.0,2.5,2014.0,0.8466256353124098,1.2810936028477689,2.50959076624802,2.50959076624802
abboip,vq_ctw,15,nearest,256.0,2.5,221.0,0.860450833111468,1.043902559622398,2.331615374595996,2.331615374595996
abboip,vq_ctw,15,nearest,512.0,2.5,221.0,0.8667200984875292,0.9883343712396706,2.394775301534064,2.394775301534064
abboip,vq_ctw,15,nearest,1024.0,2.5,221.0,0.8759651494686131,0.9487687194256467,2.19283352370523,2.19283352370523
abcoij,direct_ctw,15,linear,,2.5,1147.0,0.9844349063923206,0.17335452001251236,0.9454637234902897,0.9986040801002155
abcoij,markov_order_1,15,linear,,2.5,1147.0,0.963850630417237,0.3581182189024013,0.9454637234902897,0.9986040801002155
abcoij,markov_order_2,15,linear,,2.5,1147.0,0.9633553245503036,0.36229216026184746,0.9454637234902897,0.9986040801002155
abcoij,vq_ctw,15,linear,256.0,2.5,1147.0,0.9566301621080091,0.43838393105158535,2.9257977412615954,2.9257977412615954
abcoij,vq_ctw,15,linear,512.0,2.5,1147.0,0.9660741116376586,0.3014102547258971,2.795136284218174,2.795136284218174
abcoij,vq_ctw,15,linear,1024.0,2.5,1147.0,0.9687166594949024,0.2816537354002265,2.7891939169646025,2.7891939169646025
abdrem,direct_ctw,15,linear,,2.5,2006.0,0.7908532680297506,2.1383083140744317,0.9653741326006777,1.027653635508402
abdrem,markov_order_1,15,linear,,2.5,2006.0,0.5701513684178696,3.859936521201463,0.9653741326006777,1.027653635508402
abdrem,markov_order_2,15,linear,,2.5,2006.0,0.4697348708578526,4.542973495265894,0.9653741326006777,1.027653635508402
abdrem,vq_ctw,15,linear,256.0,2.5,2006.0,0.7767070364492534,2.1612531872356646,2.748003917973792,2.748003917973792
abdrem,vq_ctw,15,linear,512.0,2.5,2006.0,0.8158341487281227,1.61811120242084,2.3023058012807858,2.3023058012807858
abdrem,vq_ctw,15,linear,1024.0,2.5,2006.0,0.7896119201899302,1.7536340566291344,2.46297078679049,2.46297078679049
abgibo,direct_ctw,15,linear,,2.5,2015.0,0.8046354450919626,1.9712825506029654,0.9416221228594674,1.0103536954311427
abgibo,direct_ctw,15,nearest,,2.5,153.0,0.8695725325618485,1.025120644325361,0.9770991043672465,1.0321788221911554
abgibo,markov_order_1,15,linear,,2.5,2015.0,0.6214929006816717,3.3956806593684545,0.9416221228594674,1.0103536954311427
abgibo,markov_order_1,15,nearest,,2.5,153.0,0.4922150810887686,2.8279986400954646,0.9770991043672465,1.0321788221911554
abgibo,markov_order_2,15,linear,,2.5,2015.0,0.5298556920023969,4.026539752701693,0.9416221228594674,1.0103536954311427
abgibo,markov_order_2,15,nearest,,2.5,153.0,0.5099481352078956,2.767697254022029,0.9770991043672465,1.0321788221911554
abgibo,vq_ctw,15,linear,256.0,2.5,2015.0,0.7883766980661365,2.0544852974831205,2.551982871173757,2.551982871173757
abgibo,vq_ctw,15,linear,512.0,2.5,2015.0,0.8393739390296593,1.43157822834651,2.0734369345508257,2.0734369345508257
abgibo,vq_ctw,15,linear,1024.0,2.5,2015.0,0.8084173480741099,1.5944528136516496,2.5220985048842834,2.5220985048842834
abgibo,vq_ctw,15,nearest,256.0,2.5,153.0,0.871328126543655,1.019767101707482,2.5542008203576785,2.5542008203576785
abgibo,vq_ctw,15,nearest,512.0,2.5,153.0,0.8688127514143673,0.9996067950052165,2.6901627794600675,2.6901627794600675
abgibo,vq_ctw,15,nearest,1024.0,2.5,153.0,0.8573461415724425,1.0534679518293746,2.620749348287561,2.620749348287561
abjool,direct_ctw,15,linear,,2.5,2015.0,0.9574213444129729,0.48359043611863956,0.9987662504457614,1.0409882809305193
abjool,direct_ctw,15,nearest,,2.5,73.0,0.8592765748187451,1.052296583008266,0.9492992759997386,1.0002272124044418
abjool,markov_order_1,15,linear,,2.5,2015.0,0.900327718277476,1.0054204708929873,0.9987662504457614,1.0409882809305193
abjool,markov_order_1,15,nearest,,2.5,73.0,0.4918401389325531,2.686891983185041,0.9492992759997386,1.0002272124044418
abjool,markov_order_2,15,linear,,2.5,2015.0,0.892993857341149,1.067830093182974,0.9987662504457614,1.0409882809305193
abjool,markov_order_2,15,nearest,,2.5,73.0,0.517408045330082,2.6014471557835543,0.9492992759997386,1.0002272124044418
