Epoch 1: Recon_RMSE_km=2.955233 target_RMSE_km=10.000000, VQ=292.758065, Pred=5.633941, Ent=5.319923
Epoch 2: Recon_RMSE_km=8.570957 target_RMSE_km=10.000000, VQ=1.885818, Pred=0.068495, Ent=0.829033
Epoch 3: Recon_RMSE_km=8.683156 target_RMSE_km=10.000000, VQ=0.494155, Pred=0.000354, Ent=0.053335
Epoch 4: Recon_RMSE_km=8.496528 target_RMSE_km=10.000000, VQ=0.389632, Pred=0.000571, Ent=0.034567
Epoch 5: Recon_RMSE_km=8.354355 target_RMSE_km=10.000000, VQ=0.359028, Pred=0.000700, Ent=0.031295
Epoch 6: Recon_RMSE_km=7.580644 target_RMSE_km=10.000000, VQ=0.061839, Pred=0.000000, Ent=0.000003
Epoch 7: Recon_RMSE_km=7.977626 target_RMSE_km=10.000000, VQ=0.239471, Pred=0.000675, Ent=0.028092
Epoch 8: Recon_RMSE_km=7.275295 target_RMSE_km=10.000000, VQ=0.063657, Pred=0.000000, Ent=0.000071
Epoch 9: Recon_RMSE_km=7.150608 target_RMSE_km=10.000000, VQ=0.032082, Pred=0.000000, Ent=0.000172
Epoch 10: Recon_RMSE_km=7.454493 target_RMSE_km=10.000000, VQ=0.080118, Pred=0.000194, Ent=0.010979
Epoch 11: Recon_RMSE_km=7.879669 target_RMSE_km=10.000000, VQ=0.077040, Pred=0.000000, Ent=0.002416
Epoch 12: Recon_RMSE_km=7.878829 target_RMSE_km=10.000000, VQ=0.108831, Pred=0.000107, Ent=0.009418
Epoch 13: Recon_RMSE_km=7.612806 target_RMSE_km=10.000000, VQ=0.076833, Pred=0.000106, Ent=0.001874
Epoch 14: Recon_RMSE_km=7.763206 target_RMSE_km=10.000000, VQ=0.051015, Pred=0.000001, Ent=0.002609
Epoch 15: Recon_RMSE_km=7.663065 target_RMSE_km=10.000000, VQ=0.037984, Pred=0.000046, Ent=0.000620
Epoch 16: Recon_RMSE_km=7.212892 target_RMSE_km=10.000000, VQ=0.021269, Pred=0.000000, Ent=0.000000
Epoch 17: Recon_RMSE_km=7.022093 target_RMSE_km=10.000000, VQ=0.008295, Pred=0.000000, Ent=0.000000
Epoch 18: Recon_RMSE_km=7.629798 target_RMSE_km=10.000000, VQ=0.013628, Pred=0.000005, Ent=0.000115
Epoch 19: Recon_RMSE_km=7.685906 target_RMSE_km=10.000000, VQ=0.006390, Pred=0.000000, Ent=0.000000
Epoch 20: Recon_RMSE_km=7.483888 target_RMSE_km=10.000000, VQ=0.003754, Pred=0.000000, Ent=0.000000
Epoch 21: Recon_RMSE_km=7.000484 target_RMSE_km=10.000000, VQ=0.004096, Pred=0.000000, Ent=0.000045
Epoch 22: Recon_RMSE_km=6.956149 target_RMSE_km=10.000000, VQ=0.002496, Pred=0.000000, Ent=0.000007
Epoch 23: Recon_RMSE_km=7.705573 target_RMSE_km=10.000000, VQ=0.001910, Pred=0.000000, Ent=0.000000
Epoch 24: Recon_RMSE_km=7.706211 target_RMSE_km=10.000000, VQ=0.001294, Pred=0.000000, Ent=0.000000
Epoch 25: Recon_RMSE_km=7.921326 target_RMSE_km=10.000000, VQ=0.026593, Pred=0.000041, Ent=0.000145
Epoch 26: Recon_RMSE_km=7.701765 target_RMSE_km=10.000000, VQ=0.006244, Pred=0.000000, Ent=0.000023
Epoch 27: Recon_RMSE_km=7.028127 target_RMSE_km=10.000000, VQ=0.003993, Pred=0.000000, Ent=0.000000
Epoch 28: Recon_RMSE_km=7.028181 target_RMSE_km=10.000000, VQ=0.001657, Pred=0.000000, Ent=0.000000
Epoch 29: Recon_RMSE_km=7.637504 target_RMSE_km=10.000000, VQ=0.005193, Pred=0.000008, Ent=0.000038
Epoch 30: Recon_RMSE_km=7.829406 target_RMSE_km=10.000000, VQ=0.003374, Pred=0.000001, Ent=0.000058
Epoch 31: Recon_RMSE_km=7.397137 target_RMSE_km=10.000000, VQ=0.004785, Pred=0.000000, Ent=0.000034
