dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,30,linear,,10.0,503760.0,0.8271555368880413,1.2515318635671497,4.334184254643692,4.493526902561189
taxi,direct_ctw,30,nearest,,10.0,61078.0,0.8207821101703413,1.0345477165463641,4.2238015219450205,4.381274045534756
taxi,markov_order_1,30,linear,,10.0,503760.0,0.7790646863820818,1.5154471406871577,4.334184254643692,4.493526902561189
taxi,markov_order_1,30,nearest,,10.0,61078.0,0.65805035982906,1.6134736391834612,4.2238015219450205,4.381274045534756
taxi,markov_order_2,30,linear,,10.0,503760.0,0.7700604396924198,1.5642004471242024,4.334184254643692,4.493526902561189
taxi,markov_order_2,30,nearest,,10.0,61078.0,0.6721002193509478,1.5739626054195774,4.2238015219450205,4.381274045534756
taxi,vq_ctw,30,linear,256.0,10.0,503760.0,1.0,0.0,7.125821820603874,7.125821820603874
taxi,vq_ctw,30,linear,512.0,10.0,503760.0,1.0,0.0,6.975312881723967,6.975312881723967
taxi,vq_ctw,30,linear,1024.0,10.0,503760.0,1.0,0.0,6.861904882198276,6.861904882198276
taxi,vq_ctw,30,nearest,256.0,10.0,61078.0,0.9999854507350185,0.0020195593514986997,8.374712785148906,8.374712785148906
taxi,vq_ctw,30,nearest,512.0,10.0,61078.0,1.0,0.0,8.413725650683338,8.413725650683338
taxi,vq_ctw,30,nearest,1024.0,10.0,61078.0,1.0,0.0,7.801788310180945,7.801788310180945
