user_id,mode,num_points,fraction_of_user_points
abboip,taxi,1589,1.0
abcoij,taxi,579,1.0
abdrem,taxi,1741,1.0
abgibo,taxi,1711,1.0
abjool,taxi,1188,1.0
abmuya,taxi,1582,1.0
abniar,taxi,1798,1.0
abnovk,taxi,1576,1.0
abtyff,taxi,1665,1.0
abwecn,taxi,1760,1.0
abyalw,taxi,1593,1.0
acdiyi,taxi,1378,1.0
acduou,taxi,1648,1.0
acgerl,taxi,1080,1.0
acitva,taxi,1415,1.0
ackgri,taxi,938,1.0
acpegh,taxi,1802,1.0
acvebr,taxi,1629,1.0
adkavy,taxi,1473,1.0
adners,taxi,1701,1.0
adpaif,taxi,1661,1.0
aducri,taxi,1653,1.0
afmorc,taxi,1633,1.0
afpans,taxi,1727,1.0
afsfat,taxi,1564,1.0
afweka,taxi,1652,1.0
agcowk,taxi,1556,1.0
agdrea,taxi,1596,1.0
aggjuo,taxi,1783,1.0
agivle,taxi,1758,1.0
agjitf,taxi,1764,1.0
agsuec,taxi,1641,1.0
agvexp,taxi,1638,1.0
agyamk,taxi,1279,1.0
aichas,taxi,1541,1.0
ailbcu,taxi,1473,1.0
aimidd,taxi,1678,1.0
ainpli,taxi,1724,1.0
aitpyg,taxi,1741,1.0
aivtyt,taxi,1368,1.0
aiwalb,taxi,1658,1.0
ajixdo,taxi,1325,1.0
ajsips,taxi,1726,1.0
ajsned,taxi,1723,1.0
ajthof,taxi,1629,1.0
ajtreo,taxi,1443,1.0
akgicj,taxi,1720,1.0
akvutv,taxi,1715,1.0
akyeer,taxi,1635,1.0
aldhid,taxi,1396,1.0
alnihi,taxi,1716,1.0
alshet,taxi,1697,1.0
amciuc,taxi,1550,1.0
amknyw,taxi,1710,1.0
amnurg,taxi,1265,1.0
amvefa,taxi,1509,1.0
amwibs,taxi,1729,1.0
ancedv,taxi,560,1.0
ancorj,taxi,1645,1.0
ancycl,taxi,1585,1.0
andyol,taxi,1781,1.0
aniajc,taxi,1697,1.0
anidgi,taxi,1646,1.0
