user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
abboip,5,nearest,5.0,0.9254375945315935,0.8589051638003905,0.8595673914542383,0.9628218317710113,1.0,1.0,0.5781741048637734,0.8828901954993527,0.8424121693466627,0.2785129878283402,0.0,0.0
abdrem,5,nearest,5.0,0.9024678352276305,0.8864539024058561,0.8864539024058561,0.9287701215058016,1.0,1.0,0.8112012075938089,1.113596257518114,0.9944426674247511,0.5663239382902824,0.0,0.0
abgibo,5,nearest,5.0,0.9069420662826411,0.8412213945661332,0.8287227902941043,0.9999999999980904,1.0,1.0,0.5310986073066495,0.7960702681486178,0.82794353381379,0.4345625228428581,0.0,0.0
abjool,5,nearest,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
abmuya,5,nearest,5.0,0.9829485239708963,0.9704203768387295,0.9661281846543961,0.9918080042903697,1.0,1.0,0.29130881009866144,0.3518123805288662,0.3093300375104118,0.19808478738926374,0.0,0.0
abniar,5,nearest,5.0,0.9566181315705414,0.9199223432155185,0.9224180062851266,0.9999999999980907,1.0,1.0,0.46208342903911914,0.6157086297658719,0.619676202660906,0.2919352035860323,0.0,0.0
abnovk,5,nearest,5.0,0.911306172133241,0.8197030058028184,0.8059794634944111,0.9452216000621965,1.0,0.9999999999993889,0.6294450162904471,0.9828585426000295,1.0293024902937467,0.491288187868082,0.0,0.10162798197402485
abtyff,5,nearest,5.0,0.9700553559000348,0.9431422159592955,0.9459551855111141,0.9999999999990454,1.0,1.0,0.37048607600680084,0.5030244337031083,0.5169435052743655,0.19300907727536606,0.0,0.0
abwecn,5,nearest,5.0,0.9049801255970964,0.8574025518630266,0.8588391800445897,0.9999999999990319,1.0,0.9999999999995697,0.5120433672911134,0.746163131739107,0.743599615067263,0.19791874923855543,0.0,0.1010121233206687
abyalw,5,nearest,5.0,0.9783564888139971,0.9675035298985439,0.9619254423789629,0.9999999999988507,1.0,1.0,0.43913054646692246,0.5673851595063052,0.5512797439075219,0.19029634651732621,0.0,0.0
