user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,5,nearest,,7.5,95.0,0.9999999999996584,0.05076366680163196,1.978427817084959,2.1123360512402476
abboip,markov_order_1,5,nearest,,7.5,95.0,0.9999999999996584,0.036947393582350364,1.978427817084959,2.1123360512402476
abboip,markov_order_2,5,nearest,,7.5,95.0,0.9999999999996584,0.02939376061703256,1.978427817084959,2.1123360512402476
abboip,vq_ctw,5,nearest,256.0,7.5,95.0,1.0,0.0,5.791337732520158,5.791337732520158
abboip,vq_ctw,5,nearest,512.0,7.5,95.0,1.0,0.0,6.402706006437963,6.402706006437963
abboip,vq_ctw,5,nearest,1024.0,7.5,95.0,1.0,0.0,6.7023885588754,6.7023885588754
abdrem,direct_ctw,5,nearest,,7.5,36.0,1.0,0.0,2.0445530430098326,2.166873162436388
abdrem,markov_order_1,5,nearest,,7.5,36.0,1.0,0.0,2.0445530430098326,2.166873162436388
abdrem,markov_order_2,5,nearest,,7.5,36.0,1.0,0.0,2.0445530430098326,2.166873162436388
abdrem,vq_ctw,5,nearest,256.0,7.5,36.0,1.0,0.0,5.440112207225387,5.440112207225387
abdrem,vq_ctw,5,nearest,512.0,7.5,36.0,1.0,0.0,7.077314183530316,7.077314183530316
abdrem,vq_ctw,5,nearest,1024.0,7.5,36.0,1.0,0.0,7.092951028903279,7.092951028903279
abgibo,direct_ctw,5,nearest,,7.5,85.0,0.981240460221385,0.3032434382253187,2.5466365337800076,2.738988065386703
abgibo,markov_order_1,5,nearest,,7.5,85.0,0.9572602058763797,0.4442813859107868,2.5466365337800076,2.738988065386703
abgibo,markov_order_2,5,nearest,,7.5,85.0,0.9525235589473456,0.47476727557349135,2.5466365337800076,2.738988065386703
abgibo,vq_ctw,5,nearest,256.0,7.5,85.0,1.0,0.0,6.019888629147757,6.019888629147757
abgibo,vq_ctw,5,nearest,512.0,7.5,85.0,1.0,0.0,7.562579780678829,7.562579780678829
abgibo,vq_ctw,5,nearest,1024.0,7.5,85.0,1.0,0.0,7.899473759828245,7.899473759828245
abjool,direct_ctw,5,nearest,,7.5,18.0,1.0,0.0,2.016398020027805,2.183562382116573
abjool,markov_order_1,5,nearest,,7.5,18.0,1.0,0.0,2.016398020027805,2.183562382116573
abjool,markov_order_2,5,nearest,,7.5,18.0,1.0,0.0,2.016398020027805,2.183562382116573
abjool,vq_ctw,5,nearest,256.0,7.5,18.0,1.0,0.0,5.741241792406776,5.741241792406776
abjool,vq_ctw,5,nearest,512.0,7.5,18.0,1.0,0.0,5.709033674822685,5.709033674822685
abjool,vq_ctw,5,nearest,1024.0,7.5,18.0,1.0,0.0,6.064986053491644,6.064986053491644
abmuya,direct_ctw,5,nearest,,7.5,96.0,1.0,0.0,2.1112543756429214,2.2287583610597363
abmuya,markov_order_1,5,nearest,,7.5,96.0,1.0,0.0,2.1112543756429214,2.2287583610597363
abmuya,markov_order_2,5,nearest,,7.5,96.0,1.0,0.0,2.1112543756429214,2.2287583610597363
abmuya,vq_ctw,5,nearest,256.0,7.5,96.0,1.0,0.0,5.684188594144705,5.684188594144705
abmuya,vq_ctw,5,nearest,512.0,7.5,96.0,1.0,0.0,6.037956786531772,6.037956786531772
abmuya,vq_ctw,5,nearest,1024.0,7.5,96.0,1.0,0.0,6.125952811098475,6.125952811098475
abniar,direct_ctw,5,nearest,,7.5,79.0,0.9999999999990333,0.16549632331528236,2.0272693423309374,2.166850162523356
abniar,markov_order_1,5,nearest,,7.5,79.0,0.9999999999990333,0.20827081328542368,2.0272693423309374,2.166850162523356
abniar,markov_order_2,5,nearest,,7.5,79.0,0.9999999999990333,0.20732381947677367,2.0272693423309374,2.166850162523356
abniar,vq_ctw,5,nearest,256.0,7.5,79.0,1.0,0.0,5.803042758040318,5.803042758040318
abniar,vq_ctw,5,nearest,512.0,7.5,79.0,1.0,0.0,6.719597683700713,6.719597683700713
abniar,vq_ctw,5,nearest,1024.0,7.5,79.0,1.0,0.0,6.778565453241898,6.778565453241898
abnovk,direct_ctw,5,nearest,,7.5,50.0,0.9999999999993889,0.10825403919145506,2.2093130032477655,2.3932567792060455
abnovk,markov_order_1,5,nearest,,7.5,50.0,0.9999999999993889,0.11864256480663381,2.2093130032477655,2.3932567792060455
abnovk,markov_order_2,5,nearest,,7.5,50.0,0.9999999999993889,0.13370571445054996,2.2093130032477655,2.3932567792060455
abnovk,vq_ctw,5,nearest,256.0,7.5,50.0,1.0,0.0,5.970150987535979,5.970150987535979
abnovk,vq_ctw,5,nearest,512.0,7.5,50.0,1.0,0.0,7.553506420357768,7.553506420357768
abnovk,vq_ctw,5,nearest,1024.0,7.5,50.0,1.0,0.0,7.404867466026969,7.404867466026969
abtyff,direct_ctw,5,nearest,,7.5,74.0,1.0,0.0,2.0570503516215197,2.2041104696518787
abtyff,markov_order_1,5,nearest,,7.5,74.0,1.0,0.0,2.0570503516215197,2.2041104696518787
abtyff,markov_order_2,5,nearest,,7.5,74.0,1.0,0.0,2.0570503516215197,2.2041104696518787
abtyff,vq_ctw,5,nearest,256.0,7.5,74.0,1.0,0.0,5.565242939271446,5.565242939271446
abtyff,vq_ctw,5,nearest,512.0,7.5,74.0,1.0,0.0,6.547526419519043,6.547526419519043
abtyff,vq_ctw,5,nearest,1024.0,7.5,74.0,1.0,0.0,6.715897780843586,6.715897780843586
abwecn,direct_ctw,5,nearest,,7.5,71.0,0.9999999999995697,0.12757375283043146,1.8677337339050013,2.034365102351376
abwecn,markov_order_1,5,nearest,,7.5,71.0,0.9999999999995697,0.17483656779903753,1.8677337339050013,2.034365102351376
abwecn,markov_order_2,5,nearest,,7.5,71.0,0.9999999999995697,0.14569972186694607,1.8677337339050013,2.034365102351376
abwecn,vq_ctw,5,nearest,256.0,7.5,71.0,1.0,0.0,5.829554485467353,5.829554485467353
abwecn,vq_ctw,5,nearest,512.0,7.5,71.0,1.0,0.0,6.619402830878786,6.619402830878786
abwecn,vq_ctw,5,nearest,1024.0,7.5,71.0,1.0,0.0,6.6147775357788055,6.6147775357788055
abyalw,direct_ctw,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,markov_order_1,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,markov_order_2,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,vq_ctw,5,nearest,256.0,7.5,103.0,1.0,0.0,5.553678453343371,5.553678453343371
abyalw,vq_ctw,5,nearest,512.0,7.5,103.0,1.0,0.0,6.3211289254125305,6.3211289254125305
abyalw,vq_ctw,5,nearest,1024.0,7.5,103.0,1.0,0.0,6.300442816285204,6.300442816285204
acdiyi,direct_ctw,5,nearest,,7.5,59.0,1.0,0.0,1.789636893021996,1.8979121137558799
acdiyi,markov_order_1,5,nearest,,7.5,59.0,1.0,0.0,1.789636893021996,1.8979121137558799
