user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,5,nearest,,10.0,95.0,0.9274646619734871,0.558639468628832,4.457984132555924,4.585647491033944
abboip,markov_order_1,5,nearest,,10.0,95.0,0.8671210848018583,0.8350761194856174,4.457984132555924,4.585647491033944
abboip,markov_order_2,5,nearest,,10.0,95.0,0.8668982434273316,0.7966660813962378,4.457984132555924,4.585647491033944
abboip,vq_ctw,5,nearest,256.0,10.0,95.0,1.0,0.0,8.01575793405991,8.01575793405991
abboip,vq_ctw,5,nearest,512.0,10.0,95.0,1.0,0.0,8.916789325199453,8.916789325199453
abboip,vq_ctw,5,nearest,1024.0,10.0,95.0,1.0,0.0,8.619543638078909,8.619543638078909
abdrem,direct_ctw,5,nearest,,10.0,36.0,0.9024678352276305,0.8112012075938089,4.937324973883035,5.00847545005332
abdrem,markov_order_1,5,nearest,,10.0,36.0,0.8864539024058561,1.113596257518114,4.937324973883035,5.00847545005332
abdrem,markov_order_2,5,nearest,,10.0,36.0,0.8864539024058561,0.9944426674247511,4.937324973883035,5.00847545005332
abdrem,vq_ctw,5,nearest,256.0,10.0,36.0,1.0,0.0,8.079976881941125,8.079976881941125
abdrem,vq_ctw,5,nearest,512.0,10.0,36.0,1.0,0.0,9.565235703839173,9.565235703839173
abdrem,vq_ctw,5,nearest,1024.0,10.0,36.0,1.0,0.0,9.348244595153417,9.348244595153417
abgibo,direct_ctw,5,nearest,,10.0,85.0,0.9069420662826411,0.5310986073066495,4.7447313857474,4.86437035234652
abgibo,markov_order_1,5,nearest,,10.0,85.0,0.8412213945661332,0.7960702681486178,4.7447313857474,4.86437035234652
abgibo,markov_order_2,5,nearest,,10.0,85.0,0.8287227902941043,0.82794353381379,4.7447313857474,4.86437035234652
abgibo,vq_ctw,5,nearest,256.0,10.0,85.0,1.0,0.0,8.796122801687964,8.796122801687964
abgibo,vq_ctw,5,nearest,512.0,10.0,85.0,1.0,0.0,10.013709927033691,10.013709927033691
abgibo,vq_ctw,5,nearest,1024.0,10.0,85.0,1.0,0.0,9.527738200771129,9.527738200771129
abjool,direct_ctw,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.8233628349923645
abjool,markov_order_1,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.8233628349923645
abjool,markov_order_2,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.8233628349923645
abjool,vq_ctw,5,nearest,256.0,10.0,18.0,1.0,0.0,7.025399847292368,7.025399847292368
abjool,vq_ctw,5,nearest,512.0,10.0,18.0,1.0,0.0,8.149461237529163,8.149461237529163
abjool,vq_ctw,5,nearest,1024.0,10.0,18.0,1.0,0.0,8.117578491545755,8.117578491545755
abmuya,direct_ctw,5,nearest,,10.0,96.0,0.9829485239708963,0.29130881009866144,4.110267368933605,4.198361370325709
abmuya,markov_order_1,5,nearest,,10.0,96.0,0.9704203768387295,0.3518123805288662,4.110267368933605,4.198361370325709
abmuya,markov_order_2,5,nearest,,10.0,96.0,0.9661281846543961,0.3093300375104118,4.110267368933605,4.198361370325709
abmuya,vq_ctw,5,nearest,256.0,10.0,96.0,1.0,0.0,7.552385731106618,7.552385731106618
