trajectory_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,15,linear,,2.5,2014.0,0.8456151285201849,1.4584387139432828,0.9605794752671885,1.0211688010443773
abboip,markov_order_1,15,linear,,2.5,2014.0,0.7232141250856413,2.352947726354789,0.9605794752671885,1.0211688010443773
abboip,markov_order_2,15,linear,,2.5,2014.0,0.6858280732991182,2.602710731423768,0.9605794752671885,1.0211688010443773
abboip,vq_ctw,15,linear,256.0,2.5,2014.0,0.8573149268624678,1.1344805258481658,2.3800890633203213,2.3800890633203213
abcoij,direct_ctw,15,linear,,2.5,1147.0,0.9844349063923206,0.17335452001251236,0.9454637234902897,0.9986040801002155
abcoij,markov_order_1,15,linear,,2.5,1147.0,0.963850630417237,0.3581182189024013,0.9454637234902897,0.9986040801002155
abcoij,markov_order_2,15,linear,,2.5,1147.0,0.9633553245503036,0.36229216026184746,0.9454637234902897,0.9986040801002155
abcoij,vq_ctw,15,linear,256.0,2.5,1147.0,0.9695893660673094,0.2974689443732137,2.1154095725983146,2.1154095725983146
abdrem,direct_ctw,15,linear,,2.5,2006.0,0.7908532680297506,2.1383083140744317,0.9653741326006777,1.027653635508402
abdrem,markov_order_1,15,linear,,2.5,2006.0,0.5701513684178696,3.859936521201463,0.9653741326006777,1.027653635508402
abdrem,markov_order_2,15,linear,,2.5,2006.0,0.4697348708578526,4.542973495265894,0.9653741326006777,1.027653635508402
abdrem,vq_ctw,15,linear,256.0,2.5,2006.0,0.7828621333459324,1.6032406772826495,3.912060992988724,3.912060992988724
abgibo,direct_ctw,15,linear,,2.5,2015.0,0.8046354450919626,1.9712825506029654,0.9416221228594674,1.0103536954311427
abgibo,markov_order_1,15,linear,,2.5,2015.0,0.6214929006816717,3.3956806593684545,0.9416221228594674,1.0103536954311427
abgibo,markov_order_2,15,linear,,2.5,2015.0,0.5298556920023969,4.026539752701693,0.9416221228594674,1.0103536954311427
abgibo,vq_ctw,15,linear,256.0,2.5,2015.0,0.7910704684612572,1.5349004702578046,3.0446796577820106,3.0446796577820106
abjool,direct_ctw,15,linear,,2.5,2015.0,0.9574213444129729,0.48359043611863956,0.9987662504457614,1.0409882809305193
abjool,markov_order_1,15,linear,,2.5,2015.0,0.900327718277476,1.0054204708929873,0.9987662504457614,1.0409882809305193
abjool,markov_order_2,15,linear,,2.5,2015.0,0.892993857341149,1.067830093182974,0.9987662504457614,1.0409882809305193
abjool,vq_ctw,15,linear,256.0,2.5,2015.0,0.9577878236004774,0.40854820060458974,2.0747677530877557,2.0747677530877557
